loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.2363,9.4e-06,0.79,94,,,,,,,,,,,,,
0.19,9.5e-06,0.8,95,,,,,,,,,,,,,
0.2216,9.600000000000001e-06,0.81,96,,,,,,,,,,,,,
0.2331,9.7e-06,0.82,97,,,,,,,,,,,,,
0.1774,9.800000000000001e-06,0.82,98,,,,,,,,,,,,,
0.182,9.900000000000002e-06,0.83,99,,,,,,,,,,,,,
0.1778,1e-05,0.84,100,,,,,,,,,,,,,
0.1704,1.0100000000000002e-05,0.85,101,,,,,,,,,,,,,
0.1967,1.02e-05,0.86,102,,,,,,,,,,,,,
0.1783,1.03e-05,0.87,103,,,,,,,,,,,,,
0.2004,1.04e-05,0.87,104,,,,,,,,,,,,,
0.15,1.05e-05,0.88,105,,,,,,,,,,,,,
0.161,1.06e-05,0.89,106,,,,,,,,,,,,,
0.185,1.0700000000000001e-05,0.9,107,,,,,,,,,,,,,
0.1696,1.08e-05,0.91,108,,,,,,,,,,,,,
0.1487,1.09e-05,0.92,109,,,,,,,,,,,,,
0.1551,1.1000000000000001e-05,0.92,110,,,,,,,,,,,,,
0.1935,1.11e-05,0.93,111,,,,,,,,,,,,,
0.1847,1.1200000000000001e-05,0.94,112,,,,,,,,,,,,,
0.1728,1.13e-05,0.95,113,,,,,,,,,,,,,
0.18,1.1400000000000001e-05,0.96,114,,,,,,,,,,,,,
0.1649,1.1500000000000002e-05,0.97,115,,,,,,,,,,,,,
0.1887,1.16e-05,0.97,116,,,,,,,,,,,,,
0.1935,1.1700000000000001e-05,0.98,117,,,,,,,,,,,,,
0.1661,1.18e-05,0.99,118,,,,,,,,,,,,,
0.1741,1.19e-05,1.0,119,,,,,,,,,,,,,
,,1.0,119,0.1477007120847702,0.7479674796747967,0.43498817966903075,0.5500747384155455,0.9551834130781499,1.0922,387.28,24.72,,,,,
0.1531,1.2e-05,1.01,120,,,,,,,,,,,,,
0.1422,1.2100000000000001e-05,1.02,121,,,,,,,,,,,,,
0.103,1.22e-05,1.03,122,,,,,,,,,,,,,
